,title,production_budget,worldwide_gross,profit,profit_ratio,success,release_month,genres,averagerating
1551,A Walk in the Woods,8000000,37119358,29119358,3.63991975,True,9,"['Adventure', 'Biography', 'Comedy']",6.3
271,A Wrinkle in Time,103000000,133401882,30401882,0.29516390291262135,False,3,"['Adventure', 'Family', 'Fantasy']",4.2
1860,AWOL-72,3000000,0,-3000000,-1.0,False,8,"['Action', 'Thriller']",3.8
750,Abduction,35000000,86648359,51648359,1.4756674,False,9,"['Horror', 'Thriller']",5.2
1321,About Last Night,13000000,50445860,37445860,2.880450769230769,True,2,"['Comedy', 'Romance']",6.1
1370,About Time,12000000,89309178,77309178,6.4424315,True,11,"['Comedy', 'Drama', 'Fantasy']",7.8
2002,Above and Beyond,1300000,288751,-1011249,-0.7778838461538462,False,1,"['Adventure', 'Documentary', 'History']",7.7
425,Abraham Lincoln: Vampire Hunter,67500000,137489730,69989730,1.0368848888888889,False,6,"['Action', 'Fantasy', 'Horror']",5.9
2199,Absentia,70000,8555,-61445,-0.8777857142857143,False,3,"['Drama', 'Horror', 'Mystery']",5.8
933,Accidental Love,26000000,135436,-25864564,-0.9947909230769231,False,2,"['Comedy', 'Romance']",4.1
1084,Acrimony,20000000,46627836,26627836,1.3313918,False,3,"['Drama', 'Romance', 'Thriller']",5.7
1350,Act of Valor,12000000,82497035,70497035,5.874752916666667,True,2,"['Action', 'Adventure', 'Drama']",6.5
1592,Action Jackson,7000000,20257000,13257000,1.893857142857143,False,2,"['Action', 'Thriller']",3.3
1165,Action Point,19000000,5103675,-13896325,-0.7313855263157895,False,6,['Comedy'],5.0
1697,Addicted,5000000,17499242,12499242,2.4998484,True,10,"['Drama', 'Thriller']",5.2
1144,Admiral,20000000,38585047,18585047,0.92925235,False,3,"['Action', 'Adventure', 'Biography']",7.0
1326,Admission,13000000,18733666,5733666,0.44105123076923075,False,3,"['Comedy', 'Drama', 'Romance']",5.7
748,Adrift,35000000,57897191,22897191,0.6542054571428572,False,6,['Drama'],6.0
2089,Adulterers,750000,0,-750000,-1.0,False,1,"['Crime', 'Drama', 'Thriller']",5.2
2094,After,650000,0,-650000,-1.0,False,8,['Romance'],6.3
212,After Earth,130000000,251499665,121499665,0.9346128076923077,False,5,"['Action', 'Adventure', 'Drama']",4.8
1721,Ain't Them Bodies Saints,5000000,1075009,-3924991,-0.7849982,False,8,"['Crime', 'Drama', 'Romance']",6.4
447,Air Strike,65000000,516279,-64483721,-0.9920572461538462,False,10,"['Action', 'Adventure', 'Drama']",3.3
2014,Airborne,1200000,0,-1200000,-1.0,False,2,"['Comedy', 'Crime', 'Horror']",3.9
1581,Albert Nobbs,7500000,8539003,1039003,0.13853373333333333,False,12,"['Drama', 'Romance']",6.7
751,Alex Cross,35000000,35426759,426759,0.012193114285714285,False,10,"['Action', 'Crime', 'Mystery']",5.1
899,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,101379287,73379287,2.6206888214285713,True,10,"['Comedy', 'Family']",6.2
103,Alice Through the Looking Glass,170000000,276928112,106928112,0.628988894117647,False,5,"['Adventure', 'Family', 'Fantasy']",6.2
44,Alice in Wonderland,200000000,1025491110,825491110,4.12745555,True,1,"['Fantasy', 'Musical']",6.5
297,Alien: Covenant,97000000,238521247,141521247,1.4589819278350515,False,5,"['Horror', 'Sci-Fi', 'Thriller']",6.4
599,All Eyez on Me,45000000,54876855,9876855,0.21948566666666666,False,6,"['Biography', 'Drama', 'Music']",5.8
1140,All Good Things,20000000,873617,-19126383,-0.95631915,False,12,"['Crime', 'Drama', 'Mystery']",6.3
1912,All Saints,2000000,5941994,3941994,1.970997,False,8,['Drama'],6.0
2224,All Superheroes Must Die,20000,0,-20000,-1.0,False,1,"['Sci-Fi', 'Thriller']",4.0
2127,Alleluia! The Devil's Carnival,500000,0,-500000,-1.0,False,3,"['Horror', 'Musical']",6.9
267,Allied,106000000,119266661,13266661,0.12515717924528302,False,11,"['Action', 'Drama', 'Romance']",7.1
1213,Almost Christmas,17000000,42493506,25493506,1.499618,False,11,"['Comedy', 'Drama']",6.1
479,Almost Famous,60000000,47371191,-12628809,-0.21048015,False,9,"['Comedy', 'Drama', 'Family']",4.1
1577,Aloft,8000000,237688,-7762312,-0.970289,False,5,['Drama'],5.3
714,Aloha,37000000,25387091,-11612909,-0.3138624054054054,False,5,"['Comedy', 'Drama', 'Romance']",5.4
524,Alpha,51000000,99624873,48624873,0.9534288823529412,False,1,"['Drama', 'Horror', 'Mystery']",7.7
356,Alvin and the Chipmunks: Chipwrecked,80000000,349088523,269088523,3.3636065375,True,12,"['Adventure', 'Animation', 'Comedy']",4.4
322,Alvin and the Chipmunks: The Road Chip,90000000,249517956,159517956,1.7724217333333334,False,12,"['Adventure', 'Animation', 'Comedy']",5.1
449,American Assassin,63000000,68310140,5310140,0.0842879365079365,False,9,"['Action', 'Thriller']",6.2
1507,American Heist,10000000,2341218,-7658782,-0.7658782,False,7,"['Action', 'Crime', 'Drama']",5.1
2058,American Hero,1000000,26,-999974,-0.999974,False,12,"['Action', 'Comedy', 'Drama']",4.9
1804,American Honey,3500000,2611750,-888250,-0.2537857142857143,False,9,"['Adventure', 'Drama', 'Romance']",7.0
632,American Hustle,40000000,257878294,217878294,5.44695735,True,12,"['Crime', 'Drama']",7.2
546,American Made,50000000,135569212,85569212,1.71138424,False,9,"['Action', 'Biography', 'Comedy']",7.2
544,American Reunion,50000000,236799211,186799211,3.73598422,True,4,['Comedy'],6.7
488,American Sniper,58000000,547326372,489326372,8.436661586206897,True,12,"['Action', 'Biography', 'Drama']",7.3
911,American Ultra,28000000,30295028,2295028,0.08196528571428571,False,8,"['Action', 'Comedy', 'Sci-Fi']",6.1
1989,Amigo,1500000,184705,-1315295,-0.8768633333333333,False,8,"['Drama', 'War']",5.9
1864,Amnesiac,3000000,0,-3000000,-1.0,False,8,"['Drama', 'Horror', 'Thriller']",2.3
1517,Amour,9700000,36787044,27087044,2.792478762886598,True,12,"['Drama', 'Romance']",7.9
530,Anchorman 2: The Legend Continues,50000000,172185754,122185754,2.44371508,True,12,['Comedy'],6.3
1185,And So It Goes,18000000,17920013,-79987,-0.004443722222222222,False,7,"['Comedy', 'Drama', 'Romance']",5.8
2144,Anderson's Cross,300000,0,-300000,-1.0,False,5,"['Comedy', 'Drama', 'Romance']",5.5
1756,Animal Kingdom,4200000,8078683,3878683,0.9234959523809524,False,8,"['Crime', 'Drama']",7.3
1661,Animals,5500000,0,-5500000,-1.0,False,10,['Drama'],8.2
1753,Anna,4357373,1200000,-3157373,-0.7246047102233387,False,10,['Biography'],5.0
576,Anna Karenina,49000000,71004627,22004627,0.44907402040816324,False,11,"['Drama', 'Romance']",6.6
1612,Annabelle,6500000,256862920,250362920,38.517372307692305,True,10,"['Horror', 'Mystery', 'Thriller']",5.4
1237,Annabelle: Creation,15000000,305384865,290384865,19.358991,True,8,"['Horror', 'Mystery', 'Thriller']",6.5
433,Annie,65000000,139829625,74829625,1.151225,False,12,"['Comedy', 'Drama', 'Family']",5.3
513,Annihilation,55000000,43070915,-11929085,-0.21689245454545455,False,2,"['Adventure', 'Drama', 'Horror']",6.9
1563,Anomalisa,8000000,5706168,-2293832,-0.286729,False,12,"['Animation', 'Comedy', 'Drama']",7.3
914,Anonymous,27500000,15815509,-11684491,-0.42489058181818185,False,10,"['Drama', 'Thriller']",6.9
2176,Another Earth,175000,2102779,1927779,11.01588,True,7,"['Drama', 'Romance', 'Sci-Fi']",7.0
1782,Another Happy Day,4000000,978527,-3021473,-0.75536825,False,11,"['Comedy', 'Drama']",6.0
1565,Another Year,8000000,20005613,12005613,1.500701625,False,12,['Documentary'],7.2
180,Ant-Man,130000000,518858449,388858449,2.9912188384615384,True,7,"['Action', 'Adventure', 'Comedy']",7.3
179,Ant-Man and the Wasp,130000000,623144660,493144660,3.7934204615384615,True,7,"['Action', 'Adventure', 'Comedy']",7.1
2047,Antarctica: A Year on Ice,1000000,288757,-711243,-0.711243,False,9,"['Adventure', 'Biography', 'Documentary']",7.6
1888,Antibirth,2500000,0,-2500000,-1.0,False,9,['Horror'],4.9
1820,Antiviral,3100000,123407,-2976593,-0.9601912903225807,False,4,"['Horror', 'Sci-Fi', 'Thriller']",5.7
1695,Apollo 18,5000000,26517819,21517819,4.3035638,True,9,"['Horror', 'Mystery', 'Sci-Fi']",5.2
119,Aquaman,160000000,1146894640,986894640,6.1680915,True,12,"['Action', 'Adventure', 'Fantasy']",7.1
1375,Arbitrage,12000000,35830713,23830713,1.98589275,False,9,"['Drama', 'Thriller']",6.6
1729,Area 51,5000000,7556,-4992444,-0.9984888,False,5,"['Horror', 'Sci-Fi', 'Thriller']",4.2
609,Argo,44500000,227140757,182640757,4.104286674157303,True,10,"['Biography', 'Drama', 'Thriller']",7.7
2183,Aroused,150000,0,-150000,-1.0,False,2,['Documentary'],5.3
581,Arrival,47000000,203127894,156127894,3.321870085106383,True,11,"['Drama', 'Mystery', 'Sci-Fi']",7.9
666,Arthur,40000000,47787943,7787943,0.194698575,False,4,"['Comedy', 'Romance']",5.7
343,Arthur Christmas,85000000,149717124,64717124,0.7613779294117647,False,11,"['Adventure', 'Animation', 'Comedy']",7.1
1692,"As Above, So Below",5000000,41824066,36824066,7.3648132,True,8,"['Adventure', 'Horror', 'Mystery']",6.2
2129,As It Is in Heaven,450000,13486,-436514,-0.9700311111111111,False,8,['Drama'],7.3
2070,Ask Me Anything,950000,0,-950000,-1.0,False,4,['Drama'],6.1
556,Assassins,50000000,83306268,33306268,0.66612536,False,10,"['Action', 'Drama', 'Thriller']",4.4
824,Atomic Blonde,30000000,98345423,68345423,2.2781807666666665,True,7,"['Action', 'Mystery', 'Thriller']",6.7
1338,Attack the Block,13000000,6459183,-6540817,-0.5031397692307692,False,7,"['Action', 'Comedy', 'Sci-Fi']",6.7
1811,August,3400000,12636,-3387364,-0.9962835294117647,False,6,['Drama'],4.2
952,August: Osage County,25000000,50738810,25738810,1.0295524,False,12,"['Comedy', 'Drama']",7.2
0,Avatar,425000000,2776345279,2351345279,5.532577127058824,True,12,['Horror'],6.1
2,Avengers: Age of Ultron,330600000,1403013963,1072413963,3.2438413883847548,True,5,"['Action', 'Adventure', 'Sci-Fi']",7.3
3,Avengers: Infinity War,300000000,2048134200,1748134200,5.827114,True,4,"['Action', 'Adventure', 'Sci-Fi']",8.5
861,Baahubali 2: The Conclusion,30000000,263502914,233502914,7.783430466666666,True,4,"['Action', 'Drama']",8.3
779,Baby Driver,34000000,228104185,194104185,5.708946617647059,True,6,"['Action', 'Crime', 'Drama']",7.6
1848,Bachelorette,3000000,12577401,9577401,3.192467,True,9,"['Comedy', 'Romance']",5.3
409,Bad Company,70000000,69157016,-842984,-0.01204262857142857,False,8,['Thriller'],5.1
1071,Bad Moms,20000000,180998716,160998716,8.0499358,True,7,['Comedy'],6.2
1155,Bad Teacher,19000000,215448997,196448997,10.339420894736842,True,6,"['Comedy', 'Romance']",5.7
799,Bad Times at the El Royale,32000000,29204379,-2795621,-0.08736315625,False,10,"['Crime', 'Drama', 'Mystery']",7.1
1463,Bad Words,10000000,7843145,-2156855,-0.2156855,False,3,"['Comedy', 'Drama']",6.7
1545,Baggage Claim,8500000,22885836,14385836,1.692451294117647,False,9,['Comedy'],5.1
763,Bait,35000000,15471969,-19528031,-0.5579437428571429,False,9,['Drama'],7.0
1332,Bajrangi Bhaijaan,13000000,121778347,108778347,8.367565153846154,True,7,"['Action', 'Comedy', 'Drama']",8.0
856,Ballerina,30000000,96892829,66892829,2.2297609666666665,True,8,"['Biography', 'Documentary']",7.5
2069,Banshee Chapter,950000,78122,-871878,-0.9177663157894737,False,11,"['Horror', 'Sci-Fi', 'Thriller']",5.5
1505,Barbecue,10000000,247565,-9752435,-0.9752435,False,3,['Documentary'],6.5
1078,Barbershop: The Next Cut,20000000,54404202,34404202,1.7202101,False,4,"['Comedy', 'Drama']",5.9
870,Barney's Version,30000000,8845575,-21154425,-0.7051475,False,1,"['Comedy', 'Drama']",7.3
1859,Barry Munday,3000000,0,-3000000,-1.0,False,3,"['Comedy', 'Drama', 'Romance']",5.9
14,Batman v Superman: Dawn of Justice,250000000,867500281,617500281,2.470001124,True,3,"['Action', 'Adventure', 'Fantasy']",6.5
988,Battle of the Sexes,25000000,18445379,-6554621,-0.26218484,False,12,"['Biography', 'Comedy', 'Drama']",6.7
1126,Battle of the Year,20000000,16723377,-3276623,-0.16383115,False,9,"['Drama', 'Music']",5.1
24,Battleship,220000000,313477717,93477717,0.4248987136363636,False,5,"['Action', 'Adventure', 'Sci-Fi']",5.8
464,Baywatch,60000000,175863783,115863783,1.93106305,False,5,"['Action', 'Comedy', 'Crime']",5.6
1214,Beastly,17000000,38028230,21028230,1.236954705882353,False,3,"['Drama', 'Fantasy', 'Romance']",5.6
1965,Beasts of the Southern Wild,1800000,23265132,21465132,11.925073333333334,True,6,"['Adventure', 'Drama', 'Fantasy']",7.3
1534,Beautiful,9000000,3134509,-5865491,-0.6517212222222222,False,12,"['Biography', 'Drama', 'Family']",7.5
997,Beautiful Boy,25000000,13031424,-11968576,-0.47874304,False,10,['Drama'],6.6
566,Beautiful Creatures,50000000,60282876,10282876,0.20565752,False,2,"['Drama', 'Fantasy', 'Romance']",6.2
113,Beauty and the Beast,160000000,1259199706,1099199706,6.8699981625,True,1,"['Drama', 'Fantasy', 'Romance']",6.4
1700,Before I Fall,5000000,18945682,13945682,2.7891364,True,3,"['Drama', 'Fantasy', 'Mystery']",6.4
1051,Before I Go to Sleep,22000000,19563579,-2436421,-0.11074640909090909,False,10,"['Drama', 'Horror', 'Mystery']",6.3
1829,Before Midnight,3000000,23251930,20251930,6.7506433333333336,True,6,"['Drama', 'Romance']",7.9
1853,Before We Go,3000000,483938,-2516062,-0.8386873333333333,False,5,"['Documentary', 'Drama', 'News']",7.0
1557,Begin Again,8000000,68838736,60838736,7.604842,True,7,"['Drama', 'Family']",7.0
1817,Beginners,3200000,14314407,11114407,3.4732521875,True,6,"['Comedy', 'Drama', 'Romance']",7.2
1803,Believe,3500000,890303,-2609697,-0.7456277142857143,False,12,['Drama'],5.0
520,Beloved,53000000,22852487,-30147513,-0.568821,False,8,['Drama'],6.7
2012,Below Zero,1200000,0,-1200000,-1.0,False,10,['Thriller'],4.4
308,Ben-Hur,95000000,91669648,-3330352,-0.03505633684210526,False,8,"['Action', 'Adventure', 'Drama']",5.7
2207,Bending Steel,50000,0,-50000,-1.0,False,4,['Documentary'],7.9
1539,Beneath Hill 60,9000000,3440939,-5559061,-0.6176734444444445,False,6,"['Drama', 'History', 'War']",7.1
2103,Benji,500000,31559560,31059560,62.11912,True,10,"['Documentary', 'Sport']",7.4
1627,Bernie,6000000,10106975,4106975,0.6844958333333333,False,4,"['Biography', 'Comedy', 'Crime']",6.8
2017,Beyond the Black Rainbow,1100000,56491,-1043509,-0.9486445454545455,False,9,"['Horror', 'Sci-Fi', 'Thriller']",6.0
1596,Beyond the Lights,7000000,14618727,7618727,1.0883895714285714,False,11,"['Drama', 'Music', 'Romance']",6.9
1169,Big,18000000,151668774,133668774,7.426043,True,6,['Documentary'],8.5
1449,Big Eyes,10000000,27317872,17317872,1.7317872,False,12,['Documentary'],7.2
107,Big Hero 6,165000000,652127828,487127828,2.952289866666667,True,11,"['Action', 'Adventure', 'Animation']",7.8
677,Big Miracle,40000000,25268680,-14731320,-0.368283,False,2,"['Biography', 'Drama', 'Family']",6.5
797,"Big Mommas: Like Father, Like Son",32000000,82332450,50332450,1.5728890625,False,2,"['Action', 'Comedy', 'Crime']",4.4
878,Bilal: A New Breed of Hero,30000000,648599,-29351401,-0.9783800333333333,False,2,"['Action', 'Adventure', 'Animation']",8.0
1150,Bird Box,19800000,0,-19800000,-1.0,False,11,"['Drama', 'Horror', 'Sci-Fi']",6.6
810,Birth of the Dragon,31000000,7220490,-23779510,-0.7670809677419355,False,8,"['Action', 'Biography', 'Drama']",5.4
1063,Bitter Harvest,21000000,606162,-20393838,-0.9711351428571429,False,2,"['Drama', 'Romance', 'War']",6.1
771,Biutiful,35000000,24687524,-10312476,-0.2946421714285714,False,12,"['Drama', 'Romance']",7.5
1246,BlacKkKlansman,15000000,93017335,78017335,5.201155666666667,True,7,"['Biography', 'Crime', 'Drama']",7.5
519,Black Mass,53000000,98837872,45837872,0.8648655094339622,False,5,"['Biography', 'Crime', 'Drama']",6.9
1206,Black Nativity,17500000,7285135,-10214865,-0.5837065714285714,False,11,"['Drama', 'Family', 'Music']",4.6
1583,Black November,7500000,32572,-7467428,-0.9956570666666666,False,12,"['Action', 'Crime', 'Drama']",5.4
35,Black Panther,200000000,1348258224,1148258224,5.74129112,True,1,"['Action', 'Adventure', 'Sci-Fi']",7.3
2060,Black Rock,1000000,0,-1000000,-1.0,False,1,"['Horror', 'Thriller']",4.8
1316,Black Swan,13000000,331266710,318266710,24.482054615384616,True,12,"['Drama', 'Thriller']",8.0
1527,Black or White,9000000,21971021,12971021,1.4412245555555556,False,1,['Drama'],6.6
414,Blackhat,70000000,19665004,-50334996,-0.7190713714285715,False,1,"['Action', 'Crime', 'Thriller']",5.4
1747,Blackthorn,4500000,1217307,-3282693,-0.7294873333333334,False,10,"['Action', 'Adventure', 'Western']",6.6
71,Blade Runner 2049,185000000,259357408,74357408,0.40193193513513514,False,10,"['Drama', 'Mystery', 'Sci-Fi']",8.0
1440,Blair Witch,10000000,38985577,28985577,2.8985577,True,9,"['Horror', 'Mystery', 'Thriller']",5.0
1228,Bleed for This,16000000,6603926,-9396074,-0.587254625,False,11,"['Biography', 'Drama', 'Sport']",6.8
2015,Bleeding Hearts,1200000,0,-1200000,-1.0,False,6,['Horror'],3.4
598,Blended,45000000,127990741,82990741,1.8442386888888889,False,5,"['Comedy', 'Romance']",6.5
1056,Blockers,21000000,94045328,73045328,3.4783489523809523,True,4,['Comedy'],6.2
1501,Blood Done Sign My Name,10000000,109383,-9890617,-0.9890617,False,2,['Drama'],6.6
2011,Blood Feast,1200000,8708,-1191292,-0.9927433333333333,False,6,['Horror'],4.9
932,Blood Ties,26000000,2923959,-23076041,-0.8875400384615385,False,3,"['Documentary', 'Drama', 'Family']",7.0
1176,Blue Jasmine,18000000,102912961,84912961,4.717386722222222,True,7,['Drama'],7.3
2009,Blue Like Jazz,1200000,595018,-604982,-0.5041516666666667,False,4,"['Comedy', 'Drama']",5.9
2130,Blue Ruin,420000,437002,17002,0.04048095238095238,False,4,"['Crime', 'Drama', 'Thriller']",7.1
2026,Blue Valentine,1000000,16566240,15566240,15.56624,True,12,"['Drama', 'Romance']",7.4
1301,Bobby,14000000,20597806,6597806,0.47127185714285713,False,5,['Drama'],8.9
498,Bohemian Rhapsody,55000000,894985342,839985342,15.272460763636364,True,11,"['Biography', 'Drama', 'Music']",8.0
1939,Bone Tomahawk,2000000,475846,-1524154,-0.762077,False,10,"['Adventure', 'Drama', 'Horror']",7.1
1466,Bones,10000000,8378853,-1621147,-0.1621147,False,3,['Drama'],6.6
1412,Book Club,10000000,91113683,81113683,8.1113683,True,5,['Documentary'],6.6
2113,Born to Fly: Elizabeth Streb vs. Gravity,500000,1822,-498178,-0.996356,False,3,"['Action', 'Biography', 'Documentary']",6.7
1746,Bound,4500000,7011317,2511317,0.5580704444444444,False,1,"['Drama', 'Thriller']",3.5
1762,Boyhood,4000000,57273049,53273049,13.31826225,True,7,['Drama'],7.9
1974,Braid,1660000,80745,-1579255,-0.9513584337349398,False,2,"['Horror', 'Mystery', 'Thriller']",5.3
67,Brave,185000000,554606532,369606532,1.997873145945946,False,1,"['Adventure', 'Animation', 'Comedy']",7.1
1621,Breaking In,6000000,51411620,45411620,7.568603333333333,True,1,"['Action', 'Crime', 'Drama']",5.4
1593,Breathless,7000000,19910002,12910002,1.844286,False,1,['Documentary'],7.4
910,Brick Mansions,28000000,73421224,45421224,1.6221865714285715,False,4,"['Action', 'Crime']",5.7
791,Bridesmaids,32500000,289632023,257132023,7.911754553846154,True,5,"['Comedy', 'Romance']",6.8
646,Bridge of Spies,40000000,162498338,122498338,3.06245845,True,10,"['Drama', 'History', 'Thriller']",7.6
336,Bright,90000000,0,-90000000,-1.0,False,12,"['Action', 'Crime', 'Fantasy']",6.4
1406,Brighton Rock,11000000,229653,-10770347,-0.9791224545454545,False,8,"['Crime', 'Drama', 'Thriller']",5.7
759,Broken City,35000000,34480045,-519955,-0.014855857142857143,False,1,"['Crime', 'Drama', 'Thriller']",6.2
1292,Broken Horses,15000000,3471,-14996529,-0.9997686,False,4,"['Action', 'Crime', 'Drama']",5.7
1397,Brooklyn,11000000,62076141,51076141,4.643285545454545,True,11,"['Drama', 'Music', 'Musical']",6.4
1385,Brother,12000000,450594,-11549406,-0.9624505,False,6,"['Comedy', 'Drama', 'Thriller']",5.9
1957,Brotherly Love,1900000,478595,-1421405,-0.7481078947368421,False,4,['Drama'],5.8
924,Brothers,26000000,45043870,19043870,0.7324565384615385,False,1,['Action'],5.1
1483,Bucky Larson: Born to Be a Star,10000000,2529395,-7470605,-0.7470605,False,9,['Comedy'],3.3
517,Bullet to the Head,55000000,22597969,-32402031,-0.5891278363636364,False,2,"['Action', 'Crime', 'Thriller']",5.7
1900,Bully,2100000,1381824,-718176,-0.3419885714285714,False,4,"['Drama', 'Musical']",7.9
272,Bumblebee,102000000,465195589,363195589,3.560741068627451,True,12,"['Action', 'Adventure', 'Sci-Fi']",6.9
1956,Buried,1987650,21270290,19282640,9.701225064774986,True,9,['Thriller'],6.0
510,Burlesque,55000000,90552675,35552675,0.6464122727272728,False,11,['Drama'],7.0
2165,Burn,225000,1109276,884276,3.9301155555555556,True,1,['Documentary'],7.5
1116,Burnt,20000000,36773510,16773510,0.8386755,False,10,"['Comedy', 'Drama']",6.6
2161,Butterfly,250000,0,-250000,-1.0,False,10,"['Documentary', 'Sport']",7.8
2175,Butterfly Girl,180000,17503,-162497,-0.9027611111111111,False,3,['Documentary'],8.6
1141,By the Sea,20000000,3727746,-16272254,-0.8136127,False,11,['Drama'],8.0
1309,Ca$h,13700000,11738256,-1961744,-0.14319299270072994,False,1,"['Crime', 'Thriller']",6.0
1981,Cabin Fever,1500000,30351664,28851664,19.234442666666666,True,2,['Horror'],3.7
2054,Camp X-Ray,1000000,101053,-898947,-0.898947,False,10,"['Drama', 'War']",6.9
1461,Can You Ever Forgive Me?,10000000,11752387,1752387,0.1752387,False,10,"['Biography', 'Comedy', 'Crime']",7.2
13,Captain America: Civil War,250000000,1140069413,890069413,3.560277652,True,5,"['Action', 'Adventure', 'Sci-Fi']",7.8
162,Captain America: The First Avenger,140000000,370569776,230569776,1.6469269714285715,False,7,"['Action', 'Adventure', 'Sci-Fi']",6.9
99,Captain America: The Winter Soldier,170000000,714401889,544401889,3.2023640529411765,True,4,"['Action', 'Adventure', 'Sci-Fi']",7.8
500,Captain Phillips,55000000,220648184,165648184,3.0117851636363637,True,10,"['Biography', 'Drama', 'Thriller']",7.8
691,Captain Underpants: The First Epic Movie,38000000,126577874,88577874,2.3309966842105263,True,6,"['Action', 'Animation', 'Comedy']",6.2
1917,Captive,2000000,2791973,791973,0.3959865,False,4,"['Action', 'Thriller']",3.8
1757,Cargo,4200000,313230,-3886770,-0.9254214285714286,False,10,['Drama'],7.9
999,Carnage,25000000,38112154,13112154,0.52448616,False,12,['Comedy'],7.8
1392,Carol,11800000,42843521,31043521,2.6308068644067797,True,11,"['Drama', 'Romance']",7.2
841,Carrie,30000000,82409520,52409520,1.746984,False,10,"['Drama', 'Horror']",5.9
52,Cars 2,200000000,560155383,360155383,1.800776915,False,6,"['Adventure', 'Animation', 'Comedy']",6.2
93,Cars 3,175000000,383541369,208541369,1.1916649657142857,False,6,"['Adventure', 'Animation', 'Comedy']",6.8
1345,Casino Jack,12500000,2272186,-10227814,-0.81822512,False,12,"['Biography', 'Comedy', 'Crime']",6.2
345,Cats & Dogs: The Revenge of Kitty Galore,85000000,113026383,28026383,0.32972215294117646,False,7,"['Action', 'Comedy', 'Family']",4.3
1469,Cedar Rapids,10000000,7862131,-2137869,-0.2137869,False,2,['Comedy'],6.3
529,Central Intelligence,50000000,217194805,167194805,3.3438961,True,6,"['Action', 'Comedy', 'Crime']",6.3
1285,Centurion,15000000,7885048,-7114952,-0.47433013333333335,False,2,"['Action', 'Adventure', 'Drama']",6.4
1788,Chain of Command,4000000,0,-4000000,-1.0,False,9,"['Action', 'Thriller']",3.5
575,Chappie,49000000,105002056,56002056,1.1428991020408164,False,3,"['Action', 'Crime', 'Drama']",6.8
610,Charlie St. Cloud,44000000,48478084,4478084,0.10177463636363636,False,5,"['Drama', 'Fantasy', 'Romance']",6.5
1131,Chasing Mavericks,20000000,8300821,-11699179,-0.58495895,False,10,"['Biography', 'Drama', 'Sport']",7.2
2188,Cheap Thrills,100000,59424,-40576,-0.40576,False,3,"['Comedy', 'Crime', 'Drama']",6.7
1997,Checkmate,1500000,0,-1500000,-1.0,False,1,"['Drama', 'Mystery']",4.7
2068,Chemical Cut,1000000,0,-1000000,-1.0,False,1,['Drama'],5.4
2025,Chernobyl Diaries,1000000,42411721,41411721,41.411721,True,5,"['Horror', 'Mystery', 'Thriller']",5.0
570,Child 44,50000000,8004221,-41995779,-0.83991558,False,4,"['Crime', 'Drama', 'History']",6.5
1333,Chloe,13000000,11831131,-1168869,-0.089913,False,3,"['Drama', 'Music', 'Romance']",6.9
1885,Christmas Mail,2500000,0,-2500000,-1.0,False,12,"['Comedy', 'Drama', 'Family']",5.8
383,Christopher Robin,75000000,197504758,122504758,1.6333967733333334,False,8,"['Adventure', 'Animation', 'Comedy']",7.3
1351,Chronicle,12000000,123681790,111681790,9.306815833333333,True,2,"['Drama', 'Sci-Fi', 'Thriller']",7.1
1493,Churchill,10000000,7582196,-2417804,-0.2417804,False,6,"['Biography', 'Drama', 'History']",6.3
299,Cinderella,95000000,534551353,439551353,4.626856347368421,True,3,"['Drama', 'Family', 'Fantasy']",6.9
1934,Circle,2000000,10024,-1989976,-0.994988,False,5,"['Horror', 'Thriller']",3.4
2077,Circumstance,900000,958978,58978,0.06553111111111111,False,8,['Drama'],5.9
991,Cirque du Soleil: Worlds Away,25000000,28012862,3012862,0.12051448,False,12,['Fantasy'],6.8
1207,City of Ghosts,17500000,325491,-17174509,-0.9814005142857143,False,7,"['Documentary', 'War']",7.4
223,Clash of the Titans,125000000,493214888,368214888,2.945719104,True,4,"['Action', 'Adventure', 'Fantasy']",5.8
1866,Close Range,3000000,0,-3000000,-1.0,False,12,"['Action', 'Crime']",5.0
1993,Closer to the Moon,1500000,5396,-1494604,-0.9964026666666667,False,11,"['Comedy', 'Crime', 'Drama']",7.0
2192,Closure,100000,0,-100000,-1.0,False,1,"['Comedy', 'Drama']",7.9
273,Cloud Atlas,102000000,130673154,28673154,0.28110935294117645,False,10,"['Action', 'Drama', 'Mystery']",7.4
373,Cloudy with a Chance of Meatballs 2,78000000,274392649,196392649,2.517854474358974,True,9,"['Adventure', 'Animation', 'Comedy']",6.4
91,Coco,175000000,798008101,623008101,3.5600462914285713,True,11,['Horror'],7.4
1579,Code of Honor,8000000,0,-8000000,-1.0,False,5,"['Action', 'Crime', 'Thriller']",4.2
1949,Coffee Town,2000000,0,-2000000,-1.0,False,7,['Comedy'],6.6
717,Collateral Beauty,36000000,85309093,49309093,1.3696970277777778,False,12,"['Drama', 'Romance']",6.8
884,Collide,29200000,5466698,-23733302,-0.8127843150684931,False,2,['Action'],5.5
664,Colombiana,40000000,72295262,32295262,0.80738155,False,8,"['Action', 'Drama', 'Thriller']",6.4
2090,Columbus,700000,1110511,410511,0.5864442857142858,False,8,['Comedy'],5.8
1826,Coming Home,3000000,32653000,29653000,9.884333333333334,True,10,['Drama'],6.0
